,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6.0,6.1,6.2,6.3
0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.64_12.32,0.83_12.7,0.06_12.65,-0.72_12.43,-1.43_12.07,-2.05_11.57,-2.52_11.04,-2.98_10.26,-3.32_9.29,-3.47_8.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.06_10.27,1.87_12.21,0.07_12.46,-1.09_12.29,-1.99_11.92,-2.62_11.49,-3.24_10.84,-3.73_10.04,-4.02_9.24,-4.19_8.08,-4.03_6.47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.03_8.02,2.35_11.6,0.03_12.2,-1.46_12.09,-2.38_11.79,-3.26_11.26,-3.94_10.58,-4.38_9.91,-4.74_8.97,-4.9_7.84,-4.75_6.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.61_7.61,2.5_11.0,-0.06_11.87,-1.55_11.88,-2.88_11.54,-3.87_10.99,-4.5_10.41,-5.08_9.59,-5.45_8.64,-5.6_7.55,-5.51_6.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.81_8.12,1.96_10.81,-0.17_11.56,-2.08_11.6,-3.47_11.22,-4.35_10.72,-5.15_9.99,-5.71_9.14,-6.06_8.17,-6.17_7.27,-6.04_6.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.31_7.87,2.24_10.02,-0.34_11.15,-2.4_11.26,-3.7_10.97,-4.89_10.37,-5.76_9.61,-6.36_8.73,-6.67_7.93,-6.83_6.88,-6.72_5.72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.06_7.2,1.93_9.55,-0.55_10.7,-2.37_10.9,-4.1_10.6,-5.39_9.98,-6.32_9.19,-6.87_8.44,-7.29_7.47,-7.46_6.44,-7.37_5.33,-7.03_4.34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.24_9.45,-0.74_10.31,-2.92_10.53,-4.65_10.18,-5.95_9.51,-6.76_8.81,-7.43_7.88,-7.83_6.88,-7.97_5.84,-7.89_4.95,-7.5_3.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.25_8.76,-0.98_9.83,-3.16_10.09,-4.98_9.75,-6.17_9.19,-7.23_8.33,-7.96_7.36,-8.38_6.34,-8.53_5.47,-8.47_4.42,-8.13_3.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1.23_9.33,-3.37_9.61,-4.97_9.38,-6.52_8.72,-7.66_7.82,-8.43_6.81,-8.83_5.93,-9.05_4.87,-9.01_3.82,-8.78_2.97,-8.23_1.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1.46_8.82,-3.21_9.11,-5.18_8.9,-6.8_8.23,-8.02_7.3,-8.74_6.41,-9.28_5.31,-9.52_4.21,-9.52_3.33,-9.28_2.31,-8.79_1.37,-8.0_0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-3.67_8.69,-5.61_8.41,-7.24_7.67,-8.28_6.85,-9.16_5.73,-9.68_4.58,-9.87_3.63,-9.85_2.54,-9.58_1.54,-9.08_0.62,-8.46_-0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-3.78_8.16,-5.72_7.91,-7.16_7.32,-8.53_6.3,-9.47_5.12,-9.96_4.09,-10.24_2.89,-10.22_1.75,-9.95_0.72,-9.55_-0.04,-8.88_-0.84,-7.96_-1.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-5.45_7.48,-7.25_6.81,-8.71_5.76,-9.59_4.71,-10.25_3.39,-10.54_2.1,-10.51_0.9,-10.29_0.0,-9.82_-0.95,-9.16_-1.74,-8.3_-2.35,-7.41_-2.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-5.44_6.96,-7.27_6.32,-8.59_5.43,-9.77_4.09,-10.48_2.66,-10.77_1.26,-10.75_0.19,-10.47_-0.96,-9.97_-1.93,-9.28_-2.72,-8.59_-3.23,-7.61_-3.64,-6.42_-3.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-7.24_5.92,-8.86_4.79,-10.03_3.33,-10.69_1.78,-10.91_0.53,-10.82_-0.82,-10.46_-1.99,-9.88_-2.95,-9.27_-3.59,-8.41_-4.17,-7.42_-4.52,-6.48_-4.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-7.12_5.45,-8.83_4.29,-10.1_2.71,-10.72_1.28,-11.0_-0.38,-10.85_-1.85,-10.41_-3.08,-9.88_-3.92,-9.09_-4.7,-8.19_-5.24,-7.37_-5.51,-6.3_-5.6,-5.12_-5.39,NULL,NULL,NULL,NULL,NULL,NULL
